titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
History of Hell (Rosas Höllenfahrt),Kattie Forward,2004,70,Human Resources,45,RU,Novokuz’minki
Cat and Dog,Beatriz Kaes,1993,11,Sales,60,LK,Kalmunai
To.get.her,Evania Filgate,2011,53,Research and Development,75,FR,Arles
Silent Wedding (Nunta Muta),Tore Chatfield,2002,8,Human Resources,95,CN,Wangge’ertang
Hotel Reserve,Gabriele Robardey,2009,92,Support,89,PL,Kamieniec
8:46,Annnora Rosenwasser,2003,32,Engineering,35,CO,El Banco
Aftershock,Jada Keave,2005,31,Research and Development,10,PT,Eiriz
"Innkeepers, The",Nikola Marcinkowski,1995,93,Human Resources,62,RU,Kurlovo
My Boy,Rudolf Wehnerr,1995,70,Product Management,83,CN,Yanling
Primrose Path,Andre Ivimy,2005,23,Training,87,TH,Bang Khon Thi
Facing Ali,Klemens Glave,2008,70,Product Management,52,IS,Höfn
"Nutcracker, The",Raimundo Allawy,1997,2,Engineering,40,ID,Pisang
Tale of the Mummy,Leda Yukhnev,2011,81,Sales,57,ID,Wahawaha
Slappy and the Stinkers,Myranda McKeevers,1993,66,Services,73,MX,Providencia
Across the Sea of Time,Jinny Slayton,1994,4,Business Development,92,BR,Limoeiro
ComDads (les Compères),Darius Morcom,1992,26,Services,50,IT,Laspezia
Godzilla Against MechaGodzilla (Gojira tai Mekagojira),Anderea Semeniuk,2004,5,Training,90,IE,Ballina
Happy Tears,Terrill Mottershead,2009,74,Legal,9,NO,Oslo
Doc,Mandy Presnail,1999,88,Services,77,FR,Troyes
Jim Jefferies: BARE,Jasen Travers,2012,76,Services,73,PE,Huayucachi
Interiors,Carina Sponer,2007,27,Product Management,48,MX,Benito Juarez
Bal (Honey),Lorilyn Yearne,1967,69,Services,93,CN,Doushan
Creator,Adams Scatchar,2001,54,Training,56,BG,Berkovitsa
Invitation to a Gunfighter,Vittorio Mynett,2010,81,Research and Development,26,SE,Umeå
Double Impact,Cort Toseland,2009,59,Services,64,PL,Laliki
Rude Boy,Ricki Sibborn,1994,59,Engineering,62,DE,Hamburg
Striking Range,Beau Kemsley,2008,78,Research and Development,5,CZ,Dobříš
Watch the Birdie,Dorene Le Maitre,2010,56,Sales,100,CL,La Ligua
Joffrey: Mavericks of American Dance,Rubina Siaspinski,2009,27,Product Management,43,GB,Horton
Walk on Water,Barbie Elecum,2000,95,Engineering,66,RU,Inozemtsevo
Protector (Protektor),Corbin Furlow,1989,17,Sales,98,CN,Chengjiao
Kiki's Delivery Service,Arlyn Matysiak,2008,17,Services,55,FR,Lyon
"39 Steps, The",Tanya Hanhard,2010,35,Marketing,93,FR,Armentières
Anywhere But Here,Demetra Landsberg,2010,82,Training,27,CN,Hongsi
Boudu Saved From Drowning (Boudu sauvé des eaux),Bryn Zold,1987,11,Support,76,PH,San Pedro
Open Windows,Levey Fassman,2012,38,Engineering,98,PE,Condoroma
Blind Massage (Tui na),Charita Sandy,1984,18,Product Management,48,CN,Mudanjiang
"Second Civil War, The",Kai Rizzo,2002,34,Training,36,HR,Varaždin
Against All Odds,Pascal McLoughlin,1993,1,Accounting,47,PT,Arrentela
Resident Evil: Extinction,Edlin Kneesha,2001,83,Accounting,34,ID,Pulosari
Farmer & Chase,Shara Mousdall,1995,72,Legal,55,ID,Sungai Iyu
"Baron of Arizona, The",Ancell Wilbore,1992,72,Product Management,73,CN,Haizhouwobao
"Runner, The (Davandeh)",Nikki Hatherleigh,1996,95,Engineering,37,RU,Novosil’
Katt Williams: Priceless: Afterlife,Julieta Antonignetti,2000,73,Training,70,GR,Ouranoupolis
Belle toujours,Muire Dumini,1996,58,Product Management,23,CN,Guangchen
"Great Mouse Detective, The",Corina Ledbury,2012,54,Support,25,US,Peoria
My Cousin Vinny,Wyatt Greder,1996,86,Support,41,RU,Severnyy
Black Orpheus (Orfeu Negro),Otho South,2012,39,Services,98,BR,Palmeira
Palestine Is Still the Issue,Leonardo Paulat,1988,35,Marketing,96,ID,Pasauran
Satan's Tango (Sátántangó),Holden Barti,1997,87,Human Resources,99,PH,Santiago
Trekkies,Barbabas Beggan,1996,13,Business Development,40,PH,Baugo
Tarantella,Lorne Arlett,2006,43,Human Resources,23,PH,Nagpandayan
Time Freak,Jacqui Buckenham,2012,86,Engineering,1,NO,Sandefjord
White Lightning,Odella Skelhorne,1998,67,Services,90,CN,Yashiga
Pups,Sigismondo Magson,2008,6,Training,67,BR,São Luís do Quitunde
So I Married an Axe Murderer,Hyacinth Cornau,2009,92,Business Development,65,CN,Wutong
"Drum, The (Drums)",Margeaux Schowenburg,2000,94,Sales,27,CN,Jiulian
Graffiti Bridge,Valentia Merrill,2009,8,Legal,83,CN,Zoushi
Pinky,Roanne Jaimez,2010,54,Marketing,96,BR,Itanhaém
"Child, The",Cristina Klossmann,2008,80,Business Development,30,CA,Concord
Presidentintekijät,Corabel Anster,1995,76,Marketing,64,AM,Argavand
"Town, The",Brenn Cranefield,1992,59,Research and Development,35,HR,Lepoglava
"Wreck of the Mary Deare, The",Karrah Giocannoni,1992,97,Human Resources,60,CN,Bailiang
"American Tail: Fievel Goes West, An",Sergei Kimblen,2012,80,Services,30,PL,Bledzew
Gates of Heaven,Zackariah Drysdale,1999,4,Services,31,CO,Cartagena del Chairá
Grosse Pointe Blank,Gonzalo Nolleau,2002,97,Training,21,RU,Shumyachi
Love Is Strange,Leodora Polland,2005,96,Legal,31,BY,Zaslawye
Allan Quatermain and the Lost City of Gold,Koren Eliot,2010,29,Engineering,20,LT,Šventoji
My Life,Onofredo Iddenden,1994,19,Human Resources,98,CN,Dongdajie
21-87,Jess Roe,2009,14,Research and Development,7,MX,Cuauhtemoc
Here Without Me (Inja bedoone man),Garrett Glasscott,2003,21,Accounting,49,GL,Uummannaq
Third Person,Micky Fritter,2010,18,Business Development,55,PL,Gnieżdżewo
"5 Deadly Venoms, The (Wu du) (Five Deadly Venoms)",Kylila Alltimes,2003,48,Training,95,CN,Haixing
Gone,Troy Letchmore,1995,94,Sales,44,FR,Marne-la-Vallée
"Golden Christmas, A",Cornela Janowski,2005,4,Research and Development,4,MM,Myitkyina
Live Music,Willabella Childes,2008,59,Engineering,73,JP,Iwatsuki
Lenny Bruce: Swear to Tell the Truth,Tobin Beentjes,2003,37,Business Development,77,BO,Yacuiba
Victim,Alethea Sitch,2010,12,Research and Development,58,US,Los Angeles
Big Man Japan (Dai-Nihonjin),Xena Float,2006,52,Services,12,ZA,Camperdown
Trick,Elwyn Jowitt,2007,93,Sales,51,CN,Jingling
Ray Harryhausen: Special Effects Titan,Ara Stonnell,1995,49,Services,20,PT,Cortinhas
"Early Years: Erik Nietzsche Part 1, The (De unge år: Erik Nietzsche)",Tucker Forsdyke,1992,33,Sales,69,BR,São Sebastião do Caí
Hanging Up,Amalia Hartmann,1992,41,Sales,18,BD,Jamālpur
"Andromeda Strain, The",Field Bradlaugh,2011,25,Business Development,37,BR,Catu
My Demon Lover,Briny Doorey,1993,63,Business Development,41,CZ,Štítná nad Vláří
Visiting Hours,Cammie Gaul,2004,56,Support,88,PH,Agpangi
"Front, The",Remy Libby,2007,60,Training,31,PL,Brzyska
El Niño,Ettie Bozworth,2004,94,Sales,4,MK,Čair
Sudden Manhattan,Amelita Bigby,2010,56,Accounting,27,FI,Taavetti
"Pacifier, The",Karalynn Found,2010,8,Human Resources,61,RU,Rayevskiy
Voyage to the End of the Universe (Ikarie XB 1),Petronella Pesselt,1997,10,Legal,39,PE,Trinidad
"Man with a Cloak, The",Gwendolen Claus,2011,93,Sales,57,US,Lancaster
It Happened to Jane,Gerardo Gehrts,2009,24,Marketing,52,UA,Kodyma
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto),Melvin Duester,1992,85,Training,81,CN,Shuiche
Bloodline,Maddi Fleming,2009,32,Accounting,96,PK,Hujra
"Descent: Part 2, The",Tadio Lorriman,2003,17,Sales,24,RU,Orsk
"Adventures of Sebastian Cole, The",Lancelot Flamank,1999,20,Business Development,93,US,Montgomery
A Cinderella Story: Once Upon a Song,Katie Aldington,1997,4,Training,47,PT,Chavão
Thieves by Law (Ganavim Ba Hok),Clarette Rablan,2001,39,Engineering,64,CN,Ganyi
"Girls, Les",Aggie Berrigan,2003,78,Services,66,CN,Tangjiawan
Trans,Eamon McSaul,1993,52,Training,80,RU,Ekazhevo
"Town is Quiet, The (Ville est tranquille, La)",Billye Finnimore,1995,90,Research and Development,99,CN,Fengcheng
Cure,Cherilyn Mayoral,2008,92,Legal,82,CN,Sanjiang
Drift,Allen Rangall,2002,83,Training,97,CN,Huliao
"War on Democracy, The",Moyna Duchasteau,2009,83,Business Development,25,VU,Isangel
Anima Mundi,Langston Borges,2001,34,Support,64,ID,Kenarilang
Wild Bill,Fernandina Afield,2000,73,Accounting,50,JP,Himi
"Lost, The",Arley Lantuffe,2002,68,Human Resources,4,CN,Pingdong
Coffin Rock,Diane Cockerton,2003,32,Legal,43,PA,Agua Buena
"Life of Emile Zola, The",Stanleigh Coorington,1992,21,Product Management,31,MX,Emiliano Zapata
"Indian Runner, The",Ruthi Skinn,2011,4,Business Development,18,AR,Rufino
Medora,Terrel Howling,1989,64,Legal,16,CZ,Lišov
Coriolanus,Cosme Gotthard.sf,2010,85,Sales,26,CN,Nanyi
Cremaster 5,Davida Priden,1996,31,Accounting,78,UA,Kostyantynivka
Palindromes,Deva Fairley,2003,66,Training,64,NG,Gwandu
Not My Type,Eugenie Dougherty,2007,76,Engineering,97,SE,Skövde
First a Girl,Arri Brierton,1994,98,Engineering,46,CN,Qianzhou
Snow White,Lea Bonellie,2004,43,Accounting,80,PH,San Juan
A Gathering of Eagles,Lewiss Barde,1996,82,Support,62,TG,Bafilo
OKA!,Alidia Tydeman,2005,99,Support,100,MA,Rabat
Around the World Under the Sea,Bernete Castagnaro,2002,17,Business Development,91,AF,Nīkêh
Brother (Hermano),Cross Melato,2004,61,Business Development,56,MK,Demir Hisar
Trainer on the Beach 2,Saraann Vedenichev,1997,9,Support,2,FR,Alfortville
Electra Glide in Blue,Jojo MacKessock,2010,75,Product Management,29,KM,Chandra
Peeping Tom,Theressa Larroway,1993,40,Legal,29,RU,Rostokino
Matrimonial Comedy (Komedia malzenska),Jo-anne Benettolo,2004,27,Accounting,56,LV,Berģi
The War at Home,Paolina Giacomoni,1992,46,Support,19,MN,Hashaat
Charlie Chan in Panama,Jean MacAfee,2012,29,Research and Development,30,PT,Meirinhas
Bonnie and Clyde,Benedict Pizey,2005,7,Sales,96,SE,Skellefteå
Bloody Birthday,Beth Hurles,2003,18,Support,93,CN,Qincheng
Fat Albert,Stanleigh Penwright,1997,17,Support,86,GR,Oinófyta
To the Shores of Tripoli,Constantin Byrth,2004,78,Research and Development,95,UA,Vyshneve
October Baby,Chaddie Rodell,1969,71,Accounting,61,AR,Venado Tuerto
Farewell to Matyora,Hamilton Gillam,1997,51,Services,27,ID,Rote
Trading Places,Georg Shavel,2005,29,Training,44,MU,Espérance Trébuchet
Lost in Space,Adamo Paschke,1989,23,Research and Development,81,GR,Áno Liósia
"Lost Honor of Katharina Blum, The (Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie führen kann, Die)",Patti Di Antonio,2001,53,Research and Development,2,MA,El Aïoun
"Limey, The",Nikola Coleshill,2004,56,Marketing,49,PL,Piasek
"Taira Clan Saga, The (Shin heike monogatari)",Cordy Wonfor,1987,20,Marketing,40,KM,Oussivo
Sublime,Harris McKinnon,1985,3,Marketing,95,US,Las Vegas
"Enforcer, The",Ira Teague,1992,100,Sales,88,CN,Shankeng
Seaside (Bord de Mer),Dianna Gowdridge,1988,83,Legal,15,CN,Jingxin
Snakehead Terror,Hector Bamb,1994,28,Business Development,77,UA,Bilhorod-Dnistrovs’kyy
"Jackal, The",Meghann Filippo,1994,52,Engineering,47,CN,Nehe
Maximum Overdrive,Antonella Ceaser,2004,97,Research and Development,29,PL,Pantalowice
Cockneys vs Zombies,Peterus Bolan,1993,63,Services,31,CN,Marelesu
Duel at Diablo,Muhammad Valde,2006,50,Human Resources,75,CN,Luopu
"Likeable Mister R, The (Simpaticul domn R)",Lucretia Fairbourne,2012,59,Training,71,RS,Voždovac
"Egg and I, The",Patty McGurn,2004,18,Support,95,SI,Idrija
Far Out Isn't Far Enough: The Tomi Ungerer Story,Emilia Pontefract,2006,80,Training,69,CN,Nanqiao
Cinderella Man,Darbie Terzza,2007,84,Support,4,CN,Taoyuan
"Ivan the Terrible, Part Two (Ivan Groznyy II: Boyarsky zagovor)",Lorne Baitman,2007,71,Business Development,42,ID,Sukakerta
"Untouchables, The",Cyrill Rousel,2010,48,Services,92,US,Grand Rapids
"Flame of New Orleans, The",Zollie Pomphrett,2011,88,Business Development,15,CZ,Řehlovice
Show People,Wyndham Byrcher,2012,48,Services,26,GR,Dimitsána
Cadillac Man,Kleon Rosenauer,2004,87,Product Management,16,BS,Governor’s Harbour
Beautiful Boxer,Hercule Lankham,1996,56,Accounting,28,BO,Vallegrande
"Sandlot, The",Mack Saich,1996,89,Research and Development,38,HR,Žrnovo
New York Cop (Nyû Yôku no koppu),Townie Moulds,2004,65,Human Resources,49,MA,Tamorot
Infernal Affairs (Mou gaan dou),Meade Hamblett,2011,84,Accounting,15,CN,Shanhou
Killing Words (Palabras encadenadas),Daryn Swoffer,1996,58,Human Resources,83,PL,Sępopol
Breaking Point,Maire Perocci,2002,4,Support,54,CN,Hezhang
All Quiet on the Western Front,Mae Trenbay,1998,25,Accounting,33,BF,Kombissiri
If Only,Honoria Shine,2006,28,Marketing,42,ID,Siwalan
Forbidden,Sydney Samarth,2011,81,Legal,28,MX,Lazaro Cardenas
"Lives of a Bengal Lancer, The",Desmund Drewett,2009,23,Research and Development,30,PH,Lapaz
"Demon in My View, A (Der Mann nebenan)",Patrica Orwin,1993,54,Training,74,ID,Balongmulyo
Bob Saget: That Ain't Right,Harmon Borrows,2010,61,Marketing,96,UA,Kulykiv
White Night (Hvid nat),Almire Scathard,1988,11,Engineering,5,ID,Taman
Two Sisters from Boston,Gwendolyn McCallion,2003,91,Services,30,PA,Cusapín
Stargate: Continuum,Loree Eacle,1995,90,Business Development,37,CN,Baisha
Unmade Beds,Krystyna Wilshere,2010,70,Engineering,81,ID,Bijeli
Sydney (Hard Eight),Hubey Atwell,2005,75,Services,100,BR,Sousa
Grateful Dawg,Law Barkly,2012,94,Services,88,PL,Winnica
Role/Play,Pammie Leif,2004,37,Human Resources,55,CN,Xuhui
Autopsy,Pen Schinetti,1985,59,Services,74,CA,Rivière-du-Loup
Hit the Bank (Vabank),Christiane Bartke,2008,9,Sales,36,CN,Datong
All Things Fair (Lust och fägring stor),Silvan Carette,2006,51,Business Development,25,JP,Kashima-shi
The Anderssons in Greece: All Inclusive,Poppy Bruniges,2011,46,Training,97,ID,Balong
Passion Play,Morty Tomaskov,1994,87,Research and Development,21,EH,Dakhla
Summer with Monika (Sommaren med Monika),Darrin Childerley,2005,11,Accounting,88,AR,General Manuel J. Campos
Narrien illat ,Winonah Prose,1993,45,Business Development,95,CN,Sunjia Buzi
Skin Deep,Rudiger Polland,1995,45,Accounting,19,US,Omaha
Nightmare,Robbin Sleford,2000,32,Services,6,RU,Nyazepetrovsk
Fired Up,Rosamund Trusslove,1955,85,Research and Development,90,CN,Yuqian
Let My Puppets Come,Farand Shrimpton,2011,34,Product Management,75,CN,Lisui
"Little Mermaid 2: Return to the Sea, The",Aura McComas,1998,51,Accounting,82,BY,Dowsk
Answer This!,Marlena Matys,2000,8,Accounting,84,UY,Dolores
Black Legion,Suzi Bruun,2009,92,Research and Development,46,PL,Pępowo
Last Tango in Paris (Ultimo tango a Parigi),Charity Spohr,1993,46,Training,33,PT,Queluz de Baixo
